ID;type;description;nbAns;Answer1;Answer2;Answer3;Answer4;Answer5;Answer6;Answer7;Answer8;Answer9;Answer10;Answer11;Valid1;Valid2;Valid3;Valid4;Valid5;Valid6;Valid7;Valid8;Valid9;Valid10;Valid11
16;SAP;Which of the following ABAP statements throws an error at the syntax check?;1;DATA variable;DATA variable(5) TYPE n.;DATA variable(5) TYPE p.;DATA variable(5) TYPE t.;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL
17;SAP;You define a generic variable that can hold the ABAP types C, D, N, STRING, and T. You want to restrict the use of other ABAP types. Which generic data type must you use in the definition?;1;CLIKE;DATA;CSEQUENCE;SIMPLE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
18;SAP;Which ABAP statement using the local type gty_1 correctly defines a data object?;2;DATA gv_1 TYPE gty_1.;DATA gv_1 LIKE gty_1.;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
19;SAP;What can be defined using an implicit enhancement option?There are 3 correct answers to this question;3;Replacements for global SAP methods;Additional attributes in global SAP classes;Replacement for SAP function modules;Additional parameters in SAP function modules;Additional exceptions in SAP function modules;NULL;NULL;NULL;NULL;NULL;NULL;1;1;0;1;0;NULL;NULL;NULL;NULL;NULL;NULL
20;SAP;What do global types and local types have in common?;1;Documentation;Field labels;Search help;Technical information;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL
21;SAP;How can you improve the performance when accessing a large data volume database table?Please choose the correct answer.;1;Apply the appropriate data class and size category.;Switch the database table to fully buffered.;Define appropriate indexes for the database table.;Change the table type in the dictionary;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;1;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
22;SAP;You defined data reference z1 generically.Which statement would you use to access the content of the referenced variable?;1;Assign (z1) to <fs>;Assign z1 to <fs>;Assign z1->* to <fs>;Get reference of z1 into wa;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;1;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
23;SAP;Identify the types of layout managers. ;4;FlowLayout;RowLayout;ColumnLayout;MatrixLayout;GridLayout;TreeLayout;NULL;NULL;NULL;NULL;NULL;1;1;0;1;1;0;NULL;NULL;NULL;NULL;NULL
24;SAP;A structure has enhancement category 3, can be enhanced (character-type).Which set of elementary types is allowed for the new fields?;1;C,D,N,T;C,D,N,X;D,I,string, T;F,I,P,X;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
25;SAP;SAP enhancements for customer exits are managed by which transaction?;1;Transaction SMOD;Transaction CMOD;Neither transaction listed here;ApplicationCMOD;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
26;SAP;You want to include an element of type Table in your web dynpro.What actions add the corresponding columns to the table automatically?;1;Include the method BIND_TABLE of IF_WD_CONTEXT_NODE.;Bind the table attribute DATA_SOURCE to the context node;Right click the table and select the CREATE_BINDING option;Generate a BIND_TABLE method using the web dynpro method wizard.;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
27;SAP;Where can you define global data types that are visible system-wide?;3;In a method of a global class;In the ABAP Dictionary;In a function module;In a global class;In a global interface;NULL;NULL;NULL;NULL;NULL;NULL;0;1;0;1;1;NULL;NULL;NULL;NULL;NULL;NULL
28;SAP;Which enhancements can provide a screen exit?;3;Explicit enhancement sections;New BAdIs;Classic BAdIs;Customer exits;Explicit enhancement points;NULL;NULL;NULL;NULL;NULL;NULL;0;1;1;1;0;NULL;NULL;NULL;NULL;NULL;NULL
29;SAP;Which of the following enhancement options does not require any preparation from SAP?;1;New BAdIs;Explicit enhancement point;Explicit enhancement sections;Implicit enhancement point;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL
30;SAP;What happens when an authorization check fails?;1;The program is terminated.;The system field SY-SUBRC is set to a value other than zero.;A type E message is displayed.;A CX_AUTH_FAILED type exception is raised.;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;1;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
31;SAP;Which of the following regarding search helps is a true statement?Please select all the correct answers that apply.;NULL;The interface for the search help is defined by the IMP (import) and EXP (export) flag of the search help parameter.;The LPos parameter defines the position of the search help parameter in the search hit list.;The SPos parameter defines the position of the input field on the dialog screen.;The text table for the selection method is automatically populated if the text table is attached to the database table being used as the selection method.;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL
32;SAP;Which of the following rules must you follow when creating subscreens?;2;Subscreens CANNOT have a field of type OK.;Subscreens can have a dialog module containing SET PF-STATUS.;Subscreens can call other subscreens.;Subscreens CANNOT have an AT EXIT-COMMAND module.;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;0;0;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL
33;SAP;You want to develop a program that processes character type data. When you implement the program, you can either use the classical string statements or the newer strings expressions and functionsWhat are the main benefits of using string expressions and string functions?;2;You can write compact syntax instead of a long sequence of statements;You can reduce the number of intermediate variables;You can improve the performance significantly;You can write code that is very easy to read and understand;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
34;SAP;Which of the elementary data types is deep?;1;N;XSTRING;DECFLOAT34;X;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;1;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
35;SAP;Which property of the InputField UI element must be bound to a context attribute?;1;state;enable;value;visible;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;1;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
36;SAP;Which of the following interface technologies are available in SAP systems?;3;OLE;Ethernet;HTTP;RFC;ODBC;NULL;NULL;NULL;NULL;NULL;NULL;1;0;1;1;0;NULL;NULL;NULL;NULL;NULL;NULL
37;SAP;What is the difference between a value table and a check table?;1;"No difference; they are the same thing.";A value table is a check table after a foreign key is defined.;A value table is defined in the domain, whereas a check table is defined in the data element.;A check table is defined in the domain, whereas a value table is defined in the data element.;A value table does not exist.;NULL;NULL;NULL;NULL;NULL;NULL;0;1;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL
38;SAP;When is a foreign key check performed on an input/output field?;1;If the field refers to the dictionary field for which a check table is defined;If the field refers to the dictionary field for which a append search is defined;If the field refers to the dictionary field for which a search is defined;If the field refers to the dictionary field for which a value help is defined;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
39;SAP;Which types of programs or parts of programs can be tested directly from the ABAP Workbench or ABAP Editor?;4;REPORT;PROGRAM;FUNCTION-POOL;FUNCTION MODULE;CLASS-POOL;METHOD;INTERFACE-POOL;TYPE-POOL;INCLUDE;NULL;NULL;1;0;0;1;1;1;0;0;0;NULL;NULL
40;SAP;Which database objects can you create in the ABAP Dictionary?;2;Projection views;Logical databases;Indexes;Foreign key relationships;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;0;1;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
41;SAP;The software component for a customer package can be...;1;HOME;Any SAP software component (i.e., SAP_APPL, SAP_BASIS, SAP_HR, etc.);Application Layer;Database layer;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
42;SAP;Which of the following can you define in the technical settings of a transparent table?;3;Buffering type;Size category;Data class;Table name;Delivery class;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;0;0;NULL;NULL;NULL;NULL;NULL;NULL
43;SAP;In an ABAP program, you to assign an initial value to an elementary data object when you define it. Which addition must you use?;1;OBLIGATORY;DEFAULT;READ-ONLY;VALUE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL
44;SAP;You Created the following ABAP Code:DATA x TYPE REF TO DATADATA y TYPE REF TO OBJECTASSIGN x TO <fs>ASSIGN y TO <fs>You want to add a declaration of <fs> to the Code.Which of the Following Declarations are Valid?;2;FIELD-SYMBOLS <fs>;FIELD-SYMBOLS <fs> TYPE REF TO ANY;FIELD-SYMBOLS TYPE REF TO DATA;FIELD-SYMBOLS <fs> TYPE ANY;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;0;0;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL
45;SAP;What can you change in the ABAP Debugger?;1;Content of an internal table;Value of a reference variable;Value of a constant;Definition of a structure;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
46;SAP;Dynpros can be placed in which program types? ;3;Executables;Module pools;Function groups;Class pools;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
47;SAP;What is the correct order for using a lock object?;1;Read the data, set the lock, change the data, release the lock;Set the lock, read the data, change the data, release the lock;Set the lock, read the data, release the lock, change the data;release the lock, Read the data, set the lock, change the data;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;1;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
48;SAP;Which components of the class can be accessed in the implementation of a static method in that class?;2;Constants;All events;Instance attributes;Types;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;0;0;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL
49;SAP;Which does the field catalog allow you to do?;3;Add a field to the display;Specify the sort order of the display table;Produce a striped pattern for the display lines;Change the title of a column;Change the display order of a column;NULL;NULL;NULL;NULL;NULL;NULL;1;0;0;1;1;NULL;NULL;NULL;NULL;NULL;NULL
50;SAP;Which of the following statements are true? ;2;A conversion routine can be assigned to a domain.;A conversion routine can be assigned to a data element.;You define the value range in the data element.;You can enter documentation for the data element in the ABAP Dictionary.;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;0;0;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL
51;SAP;You want to select all the records from a database table where field CITY contains substring BU in any position. Which WHERE clause can you use in an Open SQL select statement?;1;WHERE city LIKE *BU*;WHERE city LIKE _BU;WHERE city LIKE %BU*;WHERE city LIKE %BU%;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL
52;SAP;What is the root class in the RTTS inheritance tree?;1;CL_ABAP_ELEMDESCR;CL_ABAP_TYPEDESCR;CL_ABAP_DATADESCR;CL_ABAP_COMPLEXDESCR;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;1;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
53;SAP;What is data binding?;1;Connecting an outbound plug on one view to the inbound plug of another view;Connecting one Web Dynpro component to another Web Dynpro component;Connecting a context node in one controller to a context node in another controller;Connecting the values of user interface elements to the context attributes of the corresponding controller;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL
54;SAP;What must you do to define a database view using the ABAP Dictionary?;3;Choose the database tables from where the view acquires data.;Define the join conditions between the tables.;Choose the fields from the tables that should be part of the view.;Define selection criteria for the view.;Define buffering settings for the underlying database tables.;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;0;0;NULL;NULL;NULL;NULL;NULL;NULL
55;SAP;Which of the following controller types can exist only once in a Web Dynpro component?;2;Window controller;Component controller;Configuration controller;View controller;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;1;1;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
56;SAP;You have implemented a class CL_CUSTOMER in which you defined a private attribute. From where can you access this attribute directly?;2;From all methods of all subclasses of CL_CUSTOMER;From all methods of the class CL_CUSTOMER;From all methods of a class to which CL_CUSTOMER grants friendship;From any program using the class CL_CUSTOMER;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;1;1;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
57;SAP;Which statements are allowed for processing internal tables?;3;SELECT;INSERT;DELETE;MODIFY;UPDATE;NULL;NULL;NULL;NULL;NULL;NULL;0;1;1;1;0;NULL;NULL;NULL;NULL;NULL;NULL
58;SAP;What is the ALV Object Model?;1;A group of classes that describe the ALV Grid as a whole and inherit from a single class;A group of hierarchal classes that describe the ALV Grid as a whole but do not inherit from a single class;A group of classes that describe the BDCGrid as a whole and inherit from a single class;A group of classes that apply Grid as a whole and inherit from a multiple class;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;1;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
59;SAP;Which of the following can you do with the SAP code inspector?;1;Monitor runtime behavior;Monitor background tasks;Perform static code checks;Analyze runtime data.;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;1;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
60;SAP;Which view types can you use to join two tables with an outer join?;2;Database view;Projection view;Maintenance view;Help view;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;1;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL
61;SAP;Where are fixed values for fields stored?;1;Table;Structure;Field;Data element;Domain;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0;1;NULL;NULL;NULL;NULL;NULL;NULL
62;SAP;Identify the ways to map context structures. ;2;Direct context mapping;External context mapping;Dynamic context mapping;Static context mapping;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
63;SAP;Which of the following are valid control level changes within a loop over an internal table?;2;END of <f>;LAST;SUM;COLLECT;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
64;SAP;How many kinds of internal tables are supported in the ABAP language?;1;2;3;1;5;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;1;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
65;SAP;dbtab is a transparent table. What is declared by the following statement? DATA myvar TYPE dbtab.;1;A structure variable;An elementary field;An internal table;A reference to an internal table;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
66;SAP;Which boundary conditions lead to improved access time to an internal table?;3;Left justified part of key for sorted tables;Fully qualified key for sorted tables;Index access for hashed tables;Left justified part of key for hashed tables;Index access for standard tables;NULL;NULL;NULL;NULL;NULL;NULL;1;1;0;0;1;NULL;NULL;NULL;NULL;NULL;NULL
67;SAP;What are the reasons to use modularization?;3;Improved transparency;Easier maintenance;Improved performance;Promotes reusability;Portability across DBMS;NULL;NULL;NULL;NULL;NULL;NULL;1;1;0;1;0;NULL;NULL;NULL;NULL;NULL;NULL
68;SAP;Which of the following statements are correct? ;4;Class methods assigned to the public visibility section can be accessed outside the class using the static component selector and the class name.;Static methods can be defined in both the public and private visibility section of the class.;Only public methods can be addressed outside the class.;You can call private methods within the public methods without reference to the object or class.;None of the above;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;1;0;NULL;NULL;NULL;NULL;NULL;NULL
69;SAP;Which parameter types can be used in the signature of a functional method?;2;EXPORTING;IMPORTING;RETURNING;CHANGING;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;1;1;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
70;SAP;You have created a Web Dynpro view that shows data for airline connections between cities. You want to display flight data for a specific date in a different view after the user select a date and presses a button. Which of the following actions you must perform?;2;Set the interface property for key fields;Edit the handler method in the view controller;Add a client-side event in the view;Create and link plugs between the views;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;1;0;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL
71;SAP;What does the enhancement category for a database table or structure do?;3;Makes a table Unicode-compliant;Specifies the types of changes that can be made to the structure;Can produce warnings at incompatible points for the structure;Can identify where program behavior may change;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;1;1;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL
72;SAP;How is data shared between Web Dynpro controllers?;2;By using data binding from a view controller to another view controller;By using context mapping from a view controller to the component controller;By using context mapping from a view controller to a custom controller;By using context mapping from a view controller to another view controller;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;1;1;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
73;SAP;Which statement ends a screen sequence and starts from initial screen?;1;CALL SCREEN;LEAVE TO SCREEN;SET SCREEN 0;LEAVE SCREEN;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;1;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
74;SAP;Table A and table B are partially buffered.Which of the following SELECT statements always access the database?;2;SELECT SINGLE CLIENT SPECIFIED a b FROM table A;INTO CORRESPONDING FIELDS OFls_AB.;SELECT a b c d FROM table A JOIN table B ON table A~aEQtable B~;eINTO CORRESPONDING FIELDS OF TABLElt_A_B.;SELECT a b FROM table A INTO CORRESPONDING FIELDS OF TABLE lt_AB;SELECT SINGLE FOR UPDATE a b FROM table A INTO CORRESPONDING FIELDS OF ls_A WHERE c EQ 1234.;NULL;NULL;NULL;NULL;NULL;0;0;1;0;0;1;NULL;NULL;NULL;NULL;NULL
75;SAP;In which event block can you overwrite the default value of a PARAMETERS field on the selection screen?;1;START-OF-SELECTION;AT SELECTION-SCREEN;PROCESS BEFORE OUTPUT;INITIALIZATION;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL
76;SAP;How can you search for classic Business Add-Ins (BAdIs)?;2;Search in the application program for the GET BADI statement.;Search in the application program for the method GET_ INSTANCE of class CL_EXITHANDLER.;Search the relevant component in the Implementation Guide (IMG).;Search in the application program for the CALL BADI statement.;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;1;1;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
77;SAP;An executableABAPprogram contains a standard selection screen and uses the event blocks AT SELECTION SCREEN, AT SELECTION-SCREEN OUTPUT, INITIALIZATION,START-OFSELECTION.In which sequence willABAPruntime call these event blocks?;1;1. INITIALIZATION;2. AT SELECTION-SCREEN OUTPUT;3. AT SELECTION-SCREEN;4. START-OF-SELECTION;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
78;SAP;Which of the following ABAP data types are compatible with the generic character-type CLIKE?;3;STRING;N;C;XSTRING;DECFLOAT;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;0;0;NULL;NULL;NULL;NULL;NULL;NULL
79;SAP;Which selection screen elements allow user input in ABAP Reports?;2;SELECTION-SCREEN BLOCK;PARAMETERS;SELECTION-SCREEN COMMENT;SELECT-OPTIONS;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;1;0;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL
80;SAP;Which type of view cannot be used in a search help?;1;Database view;Maintenance view;Help view;Candidates key view;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;1;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
81;SAP;You want to display a dialog box in your ABAP program. Which statement do you use?;1;WINDOW 200 STARTING AT 5 5.;SET SCREEN 200.;CALL SCREEN 200.;CALL SCREEN 200 STARTING AT 5 5.;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL
82;SAP;Which of the following are table buffering types?;3;Primary-key;Generic;Single-record;Full;Column-store;NULL;NULL;NULL;NULL;NULL;NULL;0;1;1;1;0;NULL;NULL;NULL;NULL;NULL;NULL
83;SAP;Where can you set the GUI status and the GUI title for a classical screen (dynpro)?;1;In a module called from PBO of the screen;In the attributes of the screen;In the properties of the related header UI element;In a module called from PAI of the screen;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
84;SAP;To which context object is the attribute LEAD_SELECTION_INDEX related?;1;Supply function;Node;Attribute;Element;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;1;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
85;SAP;Each work process is assigned a type of task that can be performed. Which statements related to this are true? ;3;To switch a work process type requires a restart of the SAP NetWeaver Application Server ABAP.;All work processes have the same structure.;All work processes communicate with the database.;All work processes communicate with the dispatcher.;A work process can communicate directly with an external system through a Remote Function Call.;It is possible to have multiple enqueue work processes on an SAP NetWeaver Application Server.;It is possible to have multiple spool work processes on an ABAP application server.;NULL;NULL;NULL;NULL;0;1;0;1;0;1;0;NULL;NULL;NULL;NULL
86;SAP;Which type of view uses an inner join in a search help?;1;Database view;Maintenance view;Help view;Candidate key view;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
87;SAP;Which of the following functions does the ABAP Dispatcher perform?;2;It directs HTTP requests from an SAP system to a web server.;It enables communication between SAP systems and external application systems.;It distributes user requests among available work processes.;It communicates with other instances in the system.;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;1;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL
88;SAP;You add the CREATE PROTECTED addition to a class definition.From where you can instantiate the class?;3;From a parent class;From a child class;From a friend class;From any protected class;From the class itself;NULL;NULL;NULL;NULL;NULL;NULL;0;1;1;0;1;NULL;NULL;NULL;NULL;NULL;NULL
89;SAP;Under which circumstances will the classic Debugger start as the Debugger?;2;"None; the new Debugger will always start as the Debugger.";When five modes already exist for this logon session.;When the number of debugging sessions exceeds half the number of dialog sessions.;When you specify the default as the classic Debugger in the settings of the Object Navigator.;If you manually switched to the classic Debugger during your last session.;NULL;NULL;NULL;NULL;NULL;NULL;0;1;0;1;0;NULL;NULL;NULL;NULL;NULL;NULL
90;SAP;Which type of transport task is used when you modify SAP standard objects?;1;Development/Correction;Workbench;Transport of copies;Repair;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL
